depth	min	max	median	mean
1705	-54	-42	-48	-48
1705.25	-52	-41	-46	-46
1705.5	-49	-39	-44	-44
1705.75	-47	-37	-42	-42
1706	-45	-35	-40	-40
1706.25	-44	-33	-38	-38
1706.5	-42	-31	-36	-36
1706.75	-41	-28	-34	-34
1707	-40	-25	-32	-32
1707.25	-39	-22	-30	-30
1707.5	-38	-19	-28	-28
1707.75	-37	-16	-26	-27
1708	-36	-13	-24	-25
1708.25	-31	-10	-20	-20
1708.5	-26	-7	-16	-16
1708.75	-21	-3	-12	-12
1709	-18	1	-8	-8
1709.25	-14	5	-4	-4
1709.5	-11	10	0	0
1709.75	-8	15	5	4
1710	-6	21	9	9
1710.25	-3	27	13	13
1710.5	-1	33	17	17
1710.75	1	39	21	21
1711	4	45	25	25
1711.25	10	47	29	29
1711.5	15	51	33	33
1711.75	20	54	38	37
1712	25	58	42	42
1712.25	29	62	46	46
1712.5	32	67	50	50
1712.75	35	72	54	54
1713	37	79	58	58
1713.25	39	85	62	62
1713.5	41	91	66	66
1713.75	43	98	71	70
1714	44	105	75	75
1714.25	55	112	83	83
1714.5	63	120	91	91
1714.75	68	134	99	100
1715	72	149	107	108
1715.25	75	165	115	116
1715.5	78	182	123	125
1715.75	81	201	131	133
1716	84	220	138	141
1716.25	86	239	146	150
1716.5	88	258	153	158
1716.75	91	277	160	166
1717	93	297	168	175
1717.25	104	304	178	185
1717.5	111	314	189	195
1717.75	118	322	200	205
1718	123	333	210	216
1718.25	128	345	221	226
1718.5	133	356	232	236
1718.75	137	374	243	246
1719	142	390	254	257
1719.25	147	405	264	267
1719.5	151	423	274	277
1719.75	155	441	283	287
1720	160	463	293	297
1720.25	177	471	303	308
1720.5	191	479	312	318
1720.75	198	485	323	328
1721	203	493	334	338
1721.25	209	502	345	348
1721.5	213	512	355	358
1721.75	217	523	366	368
1722	220	537	379	378
1722.25	224	550	389	388
1722.5	228	564	400	399
1722.75	233	583	410	409
1723	236	605	420	419
1723.25	262	612	434	433
1723.5	283	620	447	447
