"species","frequency_wc","freq"
"Abies alba","-1.991","697"
"Acer campestre","-1.912","484"
"Acer negundo","-1.525","42"
"Acer platanoides","-1.963","466"
"Acer pseudoplatanus","-1.969","1229"
"Achillea millefolium agg.","-0.612","4747"
"Achillea pannonica","-0.586","138"
"Achillea ptarmica","-0.328","245"
"Achillea setacea","-0.509","101"
"Acinos arvensis","-0.678","292"
"Aconitum firmum ssp. moravicum","-1.59","29"
"Aconitum lycoctonum","-1.942","45"
"Aconitum plicatum","-1.413","88"
"Aconitum variegatum","-1.5","69"
"Acorus calamus","-0.735","310"
"Actaea spicata","-1.99","639"
"Adenostyles alliariae","-1.478","73"
"Adonis aestivalis","0.179","123"
"Adonis vernalis","-0.998","73"
"Adoxa moschatellina","-1.938","191"
"Aegopodium podagraria","-1.519","2433"
"Aethusa cynapium","-0.75","418"
"Agrimonia eupatoria","-0.622","402"
"Agrostis canina","-0.893","1036"
"Agrostis capillaris","-0.999","2417"
"Agrostis gigantea","-0.881","213"
"Agrostis stolonifera","-0.762","1649"
"Agrostis vinealis","-0.8","205"
"Ajuga genevensis","-1.587","182"
"Ajuga reptans","-1.687","1533"
"Alchemilla glaucescens","-0.167","85"
"Alchemilla vulgaris s.lat.","-0.396","1994"
"Alisma gramineum","-0.576","51"
"Alisma lanceolatum","-0.736","73"
"Alisma plantago-aquatica","-0.646","988"
"Alliaria petiolata","-1.73","887"
"Allium angulosum","-0.092","35"
"Allium flavum","-1.175","92"
"Allium oleraceum","-1.058","120"
"Allium schoenoprasum","-0.71","32"
"Allium scorodoprasum","-1.135","75"
"Allium senescens ssp. montanum","-1.199","238"
"Allium ursinum","-1.968","81"
"Allium vineale","-1.026","67"
"Alnus glutinosa","-1.852","606"
"Alnus incana","-1.859","145"
"Alopecurus aequalis","-0.456","767"
"Alopecurus geniculatus","-0.535","51"
"Alopecurus pratensis","-0.407","2445"
"Alyssum alyssoides","-0.228","88"
"Alyssum montanum","-0.544","108"
"Amaranthus albus","0.333","28"
"Amaranthus powellii","0.381","154"
"Amaranthus retroflexus","0.26","495"
"Anagallis arvensis","0.416","900"
"Anagallis foemina","0.492","76"
"Andromeda polifolia","-1.947","141"
"Anemonastrum narcissiflorum","-0.68","23"
"Anemone nemorosa","-1.808","1259"
"Anemone ranunculoides","-1.945","104"
"Anemone sylvestris","-0.816","46"
"Anethum graveolens","0.398","21"
"Angelica sylvestris","-1.011","1806"
"Antennaria dioica","-1.377","76"
"Anthemis arvensis","0.364","340"
"Anthemis cotula","0.058","77"
"Anthemis tinctoria","-1.341","63"
"Anthericum liliago","-1.247","158"
"Anthericum ramosum","-1.627","473"
"Anthoxanthum odoratum agg.","-0.711","2492"
"Anthriscus cerefolium","-0.927","23"
"Anthriscus nitidus","-1.738","126"
"Anthriscus sylvestris","-1.02","1594"
"Anthyllis vulneraria","-0.432","282"
"Apera spica-venti","0.13","506"
"Aphanes arvensis","0.5","211"
"Aquilegia vulgaris","-1.751","50"
"Arabidopsis arenosa","-1.743","226"
"Arabidopsis halleri","-1.254","230"
"Arabidopsis thaliana","-0.338","357"
"Arabis hirsuta agg.","-1.408","129"
"Arctium lappa","-0.98","345"
"Arctium minus","-0.8","163"
"Arctium nemorosum","-1.785","32"
"Arctium tomentosum","-0.576","443"
"Arenaria serpyllifolia agg.","-0.225","616"
"Aristolochia clematitis","-1.516","55"
"Armeria elongata ssp. elongata","-0.088","107"
"Armoracia rusticana","-0.362","149"
"Arnica montana","-1.271","84"
"Arrhenatherum elatius","-0.616","2866"
"Artemisia absinthium","-0.751","128"
"Artemisia campestris","-0.473","430"
"Artemisia pontica","-1.014","28"
"Artemisia vulgaris","-0.394","2425"
"Arum cylindraceum","-1.962","31"
"Arum maculatum","-1.916","43"
"Aruncus dioicus","-1.901","114"
"Asarum europaeum","-1.949","996"
"Asparagus officinalis","-1.132","47"
"Asperula cynanchica","-0.622","747"
"Asperula tinctoria","-1.642","90"
"Asplenium cuneifolium","-1.689","56"
"Asplenium ruta-muraria","-1.407","199"
"Asplenium septentrionale","-1.309","197"
"Asplenium trichomanes","-1.678","233"
"Aster amellus","-1.077","152"
"Astragalus austriacus","-0.092","90"
"Astragalus cicer","-0.12","23"
"Astragalus danicus","-0.029","44"
"Astragalus exscapus","-0.196","35"
"Astragalus glycyphyllos","-1.728","325"
"Astragalus onobrychis","-0.384","74"
"Astrantia major","-1.813","117"
"Athyrium distentifolium","-1.661","202"
"Athyrium filix-femina","-1.882","1608"
"Atriplex oblongifolia","-0.397","86"
"Atriplex patula","0.022","844"
"Atriplex prostrata ssp. latifolia","-0.153","160"
"Atriplex sagittata","-0.174","390"
"Atriplex tatarica","0.115","106"
"Atropa bella-donna","-1.739","49"
"Aurinia saxatilis ssp. saxatilis","-1.234","145"
"Avena fatua","0.442","406"
"Avenella flexuosa","-1.782","2137"
"Avenula pubescens","-0.429","783"
"Ballota nigra","-0.752","755"
"Barbarea vulgaris","-0.807","114"
"Bartsia alpina","-0.658","22"
"Bassia scoparia","0.477","21"
"Batrachium aquatile s.lat.","-0.523","320"
"Batrachium circinatum","-0.485","167"
"Batrachium fluitans","-0.483","82"
"Batrachium trichophyllum","-0.554","84"
"Bellis perennis","-0.094","245"
"Berberis vulgaris","-1.748","56"
"Berteroa incana","-0.449","173"
"Berula erecta","-0.682","146"
"Betonica officinalis","-1.508","515"
"Betula carpatica","-1.801","40"
"Betula pendula","-1.879","704"
"Betula pubescens","-1.92","121"
"Bidens cernuus","-0.493","268"
